MLSNUM,LISTPRICE,ZIP,BEDS,BATHS,SQFT,PHOTOURL
71498924,169900,1860,2,1,1283,http://media.mlspin.com/photo.aspx?mls=71498924
71500500,279900,1524,2,2,1368,http://media.mlspin.com/photo.aspx?mls=71500500
71595485,449900,1879,2,2.5,1850,http://media.mlspin.com/photo.aspx?mls=71595485
71599223,389500,1970,2,2,1502,http://media.mlspin.com/photo.aspx?mls=71599223
71661544,237000,1970,2,1,1469,http://media.mlspin.com/photo.aspx?mls=71661544
71676394,239900,1007,2,2,1345,http://media.mlspin.com/photo.aspx?mls=71676394
71677610,985000,2025,2,2.5,2945,http://media.mlspin.com/photo.aspx?mls=71677610
71683436,509000,1749,3,2.5,2536,http://media.mlspin.com/photo.aspx?mls=71683436
71683449,490000,1749,3,2.5,2687,http://media.mlspin.com/photo.aspx?mls=71683449
71712376,180000,2045,2,2,1160,http://media.mlspin.com/photo.aspx?mls=71712376
71741165,219990,1569,2,1,940,http://media.mlspin.com/photo.aspx?mls=71741165
71742080,156000,1905,3,1.5,1449,http://media.mlspin.com/photo.aspx?mls=71742080
71747247,175000,2719,2,1.5,1068,http://media.mlspin.com/photo.aspx?mls=71747247
71748408,289900,1938,1,1,612,http://media.mlspin.com/photo.aspx?mls=71748408
71752429,399000,1730,2,1.5,1069,http://media.mlspin.com/photo.aspx?mls=71752429
71752443,259000,1730,1,1,827,http://media.mlspin.com/photo.aspx?mls=71752443
71756095,165000,2673,2,2,943,http://media.mlspin.com/photo.aspx?mls=71756095
71759728,210000,1913,2,2.5,1672,http://media.mlspin.com/photo.aspx?mls=71759728
71762833,175000,2045,2,1,987,http://media.mlspin.com/photo.aspx?mls=71762833
71765722,174999,2169,1,1,768,http://media.mlspin.com/photo.aspx?mls=71765722
71770418,449000,1749,2,2.5,2175,http://media.mlspin.com/photo.aspx?mls=71770418
71770420,445000,1749,2,2.5,2305,http://media.mlspin.com/photo.aspx?mls=71770420
71771548,306400,1564,2,2.5,1899,http://media.mlspin.com/photo.aspx?mls=71771548
71771642,369000,1749,2,2.5,1789,http://media.mlspin.com/photo.aspx?mls=71771642
71772347,99900,2780,2,1.5,975,http://media.mlspin.com/photo.aspx?mls=71772347
71773494,379000,1730,2,1.5,1126,http://media.mlspin.com/photo.aspx?mls=71773494
71773511,176300,1583,3,2,1920,http://media.mlspin.com/photo.aspx?mls=71773511
71773991,419999,1864,1,2.5,1800,http://media.mlspin.com/photo.aspx?mls=71773991
71784269,84900,1524,1,1,763,http://media.mlspin.com/photo.aspx?mls=71784269
71791399,174500,1907,2,1,830,http://media.mlspin.com/photo.aspx?mls=71791399
71794202,515000,2184,2,2,1720,http://media.mlspin.com/photo.aspx?mls=71794202
71794699,35000,1605,1,1,537,http://media.mlspin.com/photo.aspx?mls=71794699
71796486,542000,2184,2,2,1720,http://media.mlspin.com/photo.aspx?mls=71796486
71797668,86900,1863,2,1.5,726,http://media.mlspin.com/photo.aspx?mls=71797668
71798562,175000,2150,2,1,870,http://media.mlspin.com/photo.aspx?mls=71798562
71799699,264900,1752,2,2,1385,http://media.mlspin.com/photo.aspx?mls=71799699
71799898,1595000,2445,2,2.5,2214,http://media.mlspin.com/photo.aspx?mls=71799898
71800012,231000,1851,4,1.5,1500,http://media.mlspin.com/photo.aspx?mls=71800012
71801031,265900,1749,2,2,1480,http://media.mlspin.com/photo.aspx?mls=71801031
71801032,265900,1749,2,2,1480,http://media.mlspin.com/photo.aspx?mls=71801032
71801039,265900,1749,2,2,1480,http://media.mlspin.com/photo.aspx?mls=71801039
71801040,265900,1749,2,2,1480,http://media.mlspin.com/photo.aspx?mls=71801040
71801047,265900,1749,2,2,1480,http://media.mlspin.com/photo.aspx?mls=71801047
71801720,357900,1085,2,2,1632,http://media.mlspin.com/photo.aspx?mls=71801720
71802837,279000,2671,2,2,988,http://media.mlspin.com/photo.aspx?mls=71802837
71804013,319900,1902,3,2.5,2293,http://media.mlspin.com/photo.aspx?mls=71804013
